##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_customrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_customrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
net36,net70 0.002679 0.002588 0.000090 -0.000090 3.377802 {}
_057_,_105_ 0.000437 0.000423 0.000015 -0.000015 3.376389 {}
net76,net95 0.000554 0.000536 0.000018 -0.000018 3.230189 {}
net75,net76 0.000554 0.000536 0.000018 -0.000018 3.230189 {}
_112_,_127_ 0.000600 0.000619 0.000019 0.000019 3.168449 {}
dpath.a_lt_b$in1[1],net91 0.000600 0.000619 0.000019 0.000019 3.168449 {}
_101_,clknet_2_3_0_clk 0.001706 0.001653 0.000053 -0.000053 3.112466 {}
_037_,_066_ 0.000500 0.000515 0.000015 0.000015 3.100148 {}
_043_,_105_ 0.002078 0.002016 0.000062 -0.000062 2.977896 {}
_148_,net46 0.000500 0.000485 0.000015 -0.000015 2.952791 {}
_101_,net75 0.001108 0.001078 0.000031 -0.000031 2.792473 {}
_106_,_137_ 0.000423 0.000435 0.000012 0.000012 2.791655 {}
dpath.a_lt_b$in1[13],net41 0.000588 0.000571 0.000016 -0.000016 2.785683 {}
_089_,dpath.a_lt_b$in0[14] 0.000733 0.000713 0.000020 -0.000020 2.754657 {}
_176_,net72 0.000693 0.000712 0.000019 0.000019 2.744948 {}
_055_,_112_ 0.000854 0.000831 0.000023 -0.000023 2.736465 {}
_082_,dpath.a_lt_b$in1[8] 0.000416 0.000404 0.000011 -0.000011 2.710258 {}
_060_,net82 0.000526 0.000540 0.000014 0.000014 2.698992 {}
_101_,dpath.a_lt_b$in1[3] 0.000416 0.000405 0.000011 -0.000011 2.684517 {}
_158_,dpath.a_lt_b$in1[2] 0.001062 0.001034 0.000028 -0.000028 2.638664 {}
ctrl.state.out[1],ctrl.state.out[2] 0.000416 0.000405 0.000011 -0.000011 2.593582 {}
_068_,net55 0.000739 0.000758 0.000019 0.000019 2.574359 {}
dpath.a_lt_b$in1[13],net36 0.000739 0.000758 0.000019 0.000019 2.555956 {}
dpath.a_lt_b$in1[13],dpath.a_lt_b$in1[14] 0.000892 0.000914 0.000022 0.000022 2.505213 {}
net90,net96 0.000500 0.000487 0.000012 -0.000012 2.481096 {}
_041_,_043_ 0.000562 0.000549 0.000014 -0.000014 2.456168 {}
req_msg[31],resp_msg[15] 0.000639 0.000655 0.000016 0.000016 2.430753 {}
net36,net95 0.001755 0.001713 0.000042 -0.000042 2.421428 {}
_112_,dpath.a_lt_b$in1[11] 0.001965 0.002010 0.000045 0.000045 2.305912 {}
_040_,_112_ 0.001201 0.001173 0.000028 -0.000028 2.302638 {}
