##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_platformrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_platformrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
req_msg[21],resp_msg[5] 0.000521 0.000624 0.000103 0.000103 19.715171 {}
_038_,_063_ 0.001093 0.000878 0.000215 -0.000215 19.693507 {}
_142_,dpath.a_lt_b$in1[0] 0.000437 0.000352 0.000086 -0.000086 19.635591 {}
dpath.a_lt_b$in0[0],net32 0.001250 0.001009 0.000241 -0.000241 19.269448 {}
dpath.a_lt_b$in1[10],dpath.a_lt_b$in1[12] 0.000750 0.000606 0.000144 -0.000144 19.186360 {}
_089_,_105_ 0.000500 0.000405 0.000095 -0.000095 19.041808 {}
net36,net6 0.000533 0.000432 0.000101 -0.000101 18.897270 {}
net19,net36 0.001000 0.000815 0.000185 -0.000185 18.486697 {}
dpath.a_lt_b$in1[9],net70 0.000625 0.000511 0.000114 -0.000114 18.228620 {}
clknet_2_1_0_clk,dpath.a_lt_b$in0[11] 0.000601 0.000492 0.000109 -0.000109 18.143720 {}
net21,net40 0.000562 0.000461 0.000101 -0.000101 17.939294 {}
_125_,net72 0.000687 0.000565 0.000123 -0.000123 17.859055 {}
_057_,_105_ 0.000437 0.000360 0.000077 -0.000077 17.662887 {}
dpath.a_lt_b$in1[1],net86 0.000625 0.000515 0.000110 -0.000110 17.581776 {}
dpath.a_lt_b$in0[15],net36 0.002375 0.001957 0.000417 -0.000417 17.566371 {}
_071_,_104_ 0.001375 0.001135 0.000240 -0.000240 17.432641 {}
_103_,net33 0.000562 0.000465 0.000098 -0.000098 17.380597 {}
_023_,net36 0.000943 0.000780 0.000164 -0.000164 17.336277 {}
_148_,net46 0.000500 0.000413 0.000087 -0.000087 17.330266 {}
dpath.a_lt_b$in1[13],net41 0.000588 0.000486 0.000102 -0.000102 17.329884 {}
_044_,dpath.a_lt_b$in1[6] 0.000454 0.000376 0.000079 -0.000079 17.321303 {}
dpath.a_lt_b$in0[2],net79 0.000437 0.000362 0.000075 -0.000075 17.196745 {}
dpath.a_lt_b$in1[15],net42 0.000437 0.000362 0.000075 -0.000075 17.196745 {}
dpath.a_lt_b$in0[11],net64 0.001125 0.000933 0.000191 -0.000191 17.006472 {}
req_rdy,resp_msg[11] 0.000475 0.000556 0.000080 0.000080 16.942491 {}
_042_,net36 0.001375 0.001144 0.000231 -0.000231 16.801240 {}
_042_,net68 0.001187 0.000989 0.000198 -0.000198 16.718410 {}
_112_,net45 0.001125 0.000939 0.000186 -0.000186 16.553843 {}
dpath.a_lt_b$in0[4],net36 0.000500 0.000418 0.000082 -0.000082 16.440431 {}
_037_,net51 0.001250 0.001050 0.000200 -0.000200 16.015555 {}
_053_,dpath.a_lt_b$in1[4] 0.000937 0.000792 0.000146 -0.000146 15.542302 {}
req_msg[26],resp_msg[10] 0.000498 0.000576 0.000077 0.000077 15.540404 {}
_101_,net94 0.000625 0.000529 0.000096 -0.000096 15.398477 {}
_101_,net13 0.000626 0.000722 0.000096 0.000096 15.303940 {}
_070_,net43 0.000625 0.000530 0.000095 -0.000095 15.164031 {}
net14,net36 0.001250 0.001061 0.000189 -0.000189 15.084738 {}
net18,net51 0.002000 0.001698 0.000301 -0.000301 15.064013 {}
net36,net4 0.001138 0.000971 0.000167 -0.000167 14.692804 {}
_137_,net68 0.000687 0.000587 0.000101 -0.000101 14.660062 {}
_041_,_043_ 0.000562 0.000481 0.000082 -0.000082 14.554749 {}
_060_,net82 0.000526 0.000452 0.000074 -0.000074 14.078562 {}
clknet_1_0_0_clk,net72 0.001187 0.001020 0.000167 -0.000167 14.061714 {}
dpath.a_lt_b$in0[10],net68 0.001250 0.001075 0.000174 -0.000174 13.961721 {}
dpath.a_lt_b$in0[1],net75 0.000748 0.000644 0.000104 -0.000104 13.948611 {}
_023_,_150_ 0.000437 0.000377 0.000060 -0.000060 13.753601 {}
net90,net96 0.000500 0.000432 0.000068 -0.000068 13.513903 {}
